module,batch,seq_len,hidden,intermediate,median_ms,p10_ms,p90_ms,min_ms,n_iters,dtype
RMSNormLinear,1,128,2048,8192,0.2273,0.2171,0.2499,0.1535,200,bfloat16
RMSNormMLP,1,128,2048,8192,0.412,0.4024,0.4308,0.3471,200,bfloat16
RMSNorm,1,256,2048,8192,0.0741,0.0669,0.084,0.0628,200,bfloat16
RMSNormLinear,1,256,2048,8192,0.303,0.2957,0.4261,0.2939,200,bfloat16
RMSNormMLP,1,256,2048,8192,0.5527,0.5239,0.6697,0.468,200,bfloat16
RMSNorm,1,512,2048,8192,0.0712,0.0668,0.1965,0.0645,200,bfloat16
RMSNormLinear,1,512,2048,8192,0.5037,0.49,0.5544,0.4413,200,bfloat16
RMSNormMLP,1,512,2048,8192,0.9287,0.911,1.0476,0.9024,200,bfloat16
RMSNorm,1,2048,2048,8192,0.1001,0.0911,0.1301,0.0748,200,bfloat16
RMSNormLinear,1,2048,2048,8192,1.6736,1.6588,1.7491,1.6384,200,bfloat16
RMSNormMLP,1,2048,2048,8192,3.4971,3.4652,3.6696,3.4478,200,bfloat16
RMSNorm,4,512,2048,8192,0.0983,0.0891,0.1126,0.0748,200,bfloat16
RMSNormLinear,4,512,2048,8192,1.6752,1.6599,1.7482,1.6394,200,bfloat16
RMSNormMLP,4,512,2048,8192,3.4885,3.4701,3.5999,3.4582,200,bfloat16
RMSNorm,4,2048,2048,8192,0.88,0.8612,0.903,0.8489,200,bfloat16
RMSNormLinear,4,2048,2048,8192,7.02,6.996,7.1055,6.9803,200,bfloat16
RMSNormMLP,4,2048,2048,8192,14.0995,14.0335,14.2623,14.0111,200,bfloat16
RMSNorm,8,1024,2048,8192,0.8827,0.8632,0.9073,0.852,200,bfloat16
RMSNormLinear,8,1024,2048,8192,7.0338,7.003,7.1025,6.9642,200,bfloat16
RMSNormMLP,8,1024,2048,8192,14.1118,14.0339,14.2326,14.0114,200,bfloat16
RMSNorm,1,128,4096,11008,0.0768,0.0697,0.0994,0.0646,200,bfloat16
RMSNormLinear,1,128,4096,11008,0.5453,0.5089,0.7075,0.4966,200,bfloat16
RMSNormMLP,1,128,4096,11008,0.9068,0.8858,1.0068,0.8622,200,bfloat16
RMSNorm,1,256,4096,11008,0.0758,0.0677,0.1013,0.0409,200,bfloat16
RMSNormLinear,1,256,4096,11008,0.6676,0.6523,0.7916,0.6482,200,bfloat16
RMSNormMLP,1,256,4096,11008,1.2442,1.2264,1.3549,1.1858,200,bfloat16
RMSNorm,1,512,4096,11008,0.0881,0.0723,0.0981,0.0662,200,bfloat16
RMSNormLinear,1,512,4096,11008,1.159,1.1387,1.2985,1.1039,200,bfloat16
RMSNormMLP,1,512,4096,11008,2.2844,2.2467,2.4157,2.2016,200,bfloat16
RMSNorm,1,2048,4096,11008,0.2907,0.2823,0.2957,0.257,200,bfloat16
RMSNormLinear,1,2048,4096,11008,4.4339,4.4103,4.5313,4.3817,200,bfloat16
RMSNormMLP,1,2048,4096,11008,8.9014,8.8615,9.1483,8.8474,200,bfloat16
RMSNorm,4,512,4096,11008,0.2714,0.262,0.2918,0.2569,200,bfloat16
RMSNormLinear,4,512,4096,11008,4.4318,4.4102,4.5513,4.3909,200,bfloat16
RMSNormMLP,4,512,4096,11008,8.8973,8.8729,9.0328,8.8146,200,bfloat16
RMSNorm,4,2048,4096,11008,1.8719,1.8461,1.9176,1.8311,200,bfloat16
RMSNormLinear,4,2048,4096,11008,17.9102,17.879,18.0802,17.8217,200,bfloat16
RMSNormMLP,4,2048,4096,11008,35.7878,35.6997,36.2013,35.6414,200,bfloat16
RMSNorm,8,1024,4096,11008,1.8778,1.8514,1.9146,1.8309,200,bfloat16
RMSNormLinear,8,1024,4096,11008,17.9389,17.8769,18.0808,17.8586,200,bfloat16
RMSNormMLP,8,1024,4096,11008,35.7846,35.713,36.2053,35.6547,200,bfloat16
